"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"2",0.21382,2.63105,-0.38252,0.70496,0.86777,0.16321,1.1487,1536.76563,11325,10678,10544,11015,14765,16612,13172,5069,1,1,35.27161,81,0.01409,72.54321,0.01409,72.54321,0.01409,72.54321,0,7.39256,0.37895,0,14.78512,0.64804,1.71365,1.22,0.33264,-0.84414,0.88895
"2",0.3661,2.11003,0.29848,0.78678,0.54545,0.35107,1.79377,1017.76538,11311,10689,10335,10763,16055,14582,11768,5064,1,1,29.18462,65,0.01468,70.03077,0.01468,70.03077,0.01468,70.03077,0,7.19835,0.2995,0,14.39669,0.65255,1.64503,1.01057,0.22294,-0.83512,0.84351
"2",0.28813,2.46026,0.75296,0.78017,0.57851,1.17757,4.30008,1343.04626,11158,10395,10249,10126,15370,13754,11257,5048,1,1,27.02817,71,0.01365,75.32394,0.01365,75.32394,0.01365,75.32394,0,7.38017,0.42572,0,14.76033,1.12438,1.91798,1.03199,0.23571,-0.79232,0.86745
"2",0.14398,3.30483,0.51964,0.69917,0.95868,2.76615,16.81124,2099.20703,10699,9870,9348,8725,14593,11855,9039,5049,1,1,25.86364,88,0.01533,68.54546,0.01533,68.54546,0.01533,68.54546,0,6.8843,0.90397,0,13.76859,2.6572,2.47679,1.2537,0.37006,-0.7058,0.90646
"2",1,0,0,1,0,0,0,399.88889,10513,9595,8838,7816,18557,9648,6993,5045,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"2",0.1894,2.7473,0.62534,0.73967,0.61983,0.19187,2.53997,1631.44739,10948,10187,9675,9549,14929,15527,11935,5031,1,1,32.30952,84,0.01477,69.75,0.01477,69.75,0.01477,69.75,0,7.30992,0.42048,0,14.61983,1.06209,2.04049,1.09958,0.23777,-0.79105,0.88842
"2",0.18018,2.69738,0.37959,0.72562,0.72727,0.22681,2.0059,1875.73059,11303,10682,10358,10384,17285,16674,12430,5055,1,1,35.07595,79,0.01289,79.12658,0.01289,79.12658,0.01289,79.12658,0,7.64463,0.43569,0,15.28926,1.0155,1.94297,1.15603,0.27997,-0.77746,0.88272
"3",0.27112,2.36944,1.22161,0.81157,0.39669,0.20232,2.4615,1321.69543,11461,10938,11450,12499,16884,20127,15998,5056,1,1,33.74286,70,0.01495,68.3,0.01495,68.3,0.01495,68.3,0,7.20661,0.33748,0,14.41322,0.95321,1.95083,0.90131,0.16222,-0.70628,0.84265
"3",0.13804,3.4064,0.27943,0.65289,1.28926,1.68602,10.337,2259.20264,11252,10633,11074,13124,16150,21624,15476,5035,1,1,25.61905,84,0.01497,70.38095,0.01497,70.38095,0.01497,70.38095,0,7.23967,0.84339,0,14.47934,2.08428,2.40655,1.35815,0.48726,-0.74673,0.9182
"3",0.20135,2.71661,0.37734,0.7405,0.67769,0.16854,1.9805,1595.05811,11557,11069,11790,13059,16646,19461,14420,5051,1,1,31.97674,86,0.01467,70.47675,0.01467,70.47675,0.01467,70.47675,0,7.3719,0.39888,0,14.7438,0.91783,1.94324,1.1229,0.26446,-0.84041,0.89422
"3",0.57172,1.34014,0.61142,0.88017,0.23967,-0.11989,0.38663,727.8017,10960,10263,9986,10992,14296,18175,15524,5072,1,1,33.81482,54,0.01663,60.98148,0.01663,60.98148,0.01663,60.98148,0,6.92149,0.1302,0,13.84298,0.28113,1.10047,0.66736,0.10547,-0.85882,0.74364
"3",0.12284,3.22507,0.54744,0.67355,0.85124,-0.78705,7.40323,2291.23462,11518,10978,11598,12852,17622,20008,14980,5047,1,1,30.19565,92,0.01515,68.77174,0.01515,68.77174,0.01515,68.77174,0,7.21901,0.67518,0,14.43802,1.84946,2.3621,1.22456,0.30799,-0.68566,0.89851
"3",0.18411,3.11597,0.38671,0.70826,1.19835,3.0574,16.73434,1757.64746,11750,11364,11958,13524,18668,21329,14977,5042,1,1,24.95349,86,0.01606,66.43023,0.01606,66.43023,0.01606,66.43023,0,6.78926,0.94319,0,13.57851,2.57441,2.37519,1.26968,0.48154,-0.69362,0.8939
"3",0.2004,2.6237,0.47031,0.73967,0.61983,-0.02522,1.75569,1558.70544,11530,11027,11546,12729,16976,20374,15425,5058,1,1,33.20253,79,0.01465,70.03797,0.01465,70.03797,0.01465,70.03797,0,7.35124,0.37663,0,14.70248,0.88669,1.92229,1.09958,0.23777,-0.82286,0.88509
"3",0.16184,2.88945,0.68215,0.71653,0.68595,1.41908,6.45709,1630.82788,11290,10733,10520,11408,17133,20160,15084,5047,1,1,29.43373,83,0.01671,62.10843,0.01671,62.10843,0.01671,62.10843,0,6.72314,0.54732,0,13.44628,1.50331,2.16706,1.1431,0.2569,-0.75088,0.89093
"3",0.14555,2.92447,0.33285,0.68099,0.87603,0.02581,2.93547,2264.00317,13226,13250,14045,15991,19355,20012,16280,5047,1,1,31.63636,88,0.01286,79.90909,0.01286,79.90909,0.01286,79.90909,0,7.78512,0.53234,0,15.57025,1.25333,2.08276,1.23419,0.3232,-0.8096,0.90257
"3",0.33693,1.8351,0,0.78512,0.42975,-0.12622,0.48876,934.48853,10955,10341,10491,12638,16204,21559,17455,5056,1,1,37.18421,76,0.01778,57.31579,0.01778,57.31579,0.01778,57.31579,0,6.72727,0.21488,0,13.45455,0.42975,1.40535,0.93878,0.1687,-0.87177,0.8199
"3",0.07363,3.86668,0.05273,0.5124,2.36364,-0.1266,14.30838,3591.96216,10745,9979,9436,9423,15110,15994,11541,5057,1,1,26.90385,104,0.01407,75.91346,0.01407,75.91346,0.01407,75.91346,0,7.5124,1.26638,0,15.02479,2.70186,2.65097,1.55039,0.81784,-0.81961,0.94572
"3",0.45233,1.50149,-0.56869,0.82231,0.35537,-0.09495,0.24523,796.6449,10887,10240,10305,12263,15406,20942,16606,5042,1,1,34.6338,71,0.0178,57.2676,0.0178,57.2676,0.0178,57.2676,0,6.82231,0.16264,0,13.64463,0.2952,1.14612,0.85125,0.14611,-0.85208,0.76994
"3",0.12923,3.16414,0.16908,0.65785,1.04132,0.46387,4.34853,1869.34851,11466,11026,11525,13472,19748,23513,19871,5045,1,1,28.81395,86,0.01661,62.83721,0.01661,62.83721,0.01661,62.83721,0,6.90083,0.57694,0,13.80165,1.26644,2.17385,1.28985,0.38235,-0.86244,0.92273
"3",0.18414,2.81401,0.33402,0.70744,0.7438,0.43117,2.628,1714.8866,11084,10415,10543,12584,15620,20494,16298,5048,1,1,29.325,80,0.01389,74.3125,0.01389,74.3125,0.01389,74.3125,0,7.42975,0.43515,0,14.8595,0.99679,1.98385,1.17358,0.2784,-0.81963,0.89735
"3",0.12281,3.1681,0.48905,0.66942,0.8595,0.07707,5.03077,2108.72583,11702,11310,12335,14485,20272,25691,19967,5049,1,1,29.36364,88,0.01539,67.59091,0.01539,67.59091,0.01539,67.59091,0,7.07438,0.6143,0,14.14876,1.59771,2.28766,1.22735,0.30927,-0.79738,0.91417
"3",0.18411,3.04677,0.56039,0.76033,0.87603,2.7494,15.64591,1739.84875,11317,10815,10810,11717,18474,20511,14371,5064,1,1,24.79221,77,0.01664,64.06493,0.01664,64.06493,0.01664,64.06493,0,6.78512,0.77201,0,13.57025,2.21201,2.33844,1.13032,0.36364,-0.69225,0.88955
"3",0.12909,3.12879,0.65078,0.71322,0.75207,0.04234,6.52498,2127.76392,11509,11013,11341,12584,18219,21753,17178,5040,1,1,28.93103,87,0.01535,67.82758,0.01535,67.82758,0.01535,67.82758,0,6.97934,0.6566,0,13.95868,1.87433,2.3497,1.17398,0.28504,-0.73435,0.90207
"3",0.13319,3.40552,0.44112,0.67107,1.07438,-2.89107,17.12171,2635.04248,12184,11904,13137,15923,19458,24685,18485,5055,1,1,27.02381,84,0.01305,80.36905,0.01305,80.36905,0.01305,80.36905,0,7.79339,0.87467,0,15.58678,2.42429,2.46834,1.30458,0.40496,-0.74535,0.91795
"4",0.82839,0.64943,6.13981,0.96281,0.07438,0.93172,3.00743,473.09961,10607,9658,8614,7883,7395,6014,5646,5057,1,1,32.44186,43,0.01966,51.48837,0.01966,51.48837,0.01966,51.48837,0,6.07851,0.10541,0,12.15702,0.34724,0.57505,0.27983,0.03581,-0.42023,0.44933
"4",0.56366,1.29486,2.68144,0.91901,0.18182,-0.47333,0.80773,788.1275,10969,10347,10605,9520,7523,6027,5643,5032,1,1,29.37037,54,0.01707,59.59259,0.01707,59.59259,0.01707,59.59259,0,6.81818,0.15702,0,13.63636,0.44628,1.07232,0.51931,0.08408,-0.55774,0.65703
